i,BLM
1,0
2,5.29241211659461e-07
3,0.000135892956774077
4,0.0348931551322266
5,8.9594950612914
6,2300.52431341088
7,590704.284157705
8,151674793.997252
9,38945448257.4347
10,1e+13
