"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9804196255.502995,9804196255.502995,284,2403898.000000,18942285.000000,3101308.000000,2403898.000000,13437079.000000,0.163724,0.000000,0.000000,0,1.000000
2,9798783596.732994,9798783596.732994,284,2393898.000000,18942285.000000,3106308.000000,2393898.000000,13442079.000000,0.163988,0.000000,0.000000,0,1.000000
3,9798783596.732994,9798783596.732994,284,2383898.000000,18942285.000000,3111308.000000,2383898.000000,13447079.000000,0.164252,0.000000,0.000000,0,1.000000
4,9787958279.182997,9787958279.182997,283,2383898.000000,18942285.000000,3096308.000000,2383898.000000,13462079.000000,0.163460,0.000000,0.000000,0,1.000000
5,9793370937.952995,9793370937.952995,283,2393898.000000,18942285.000000,3091308.000000,2393898.000000,13457079.000000,0.163196,0.000000,0.000000,0,1.000000
6,9798783596.732996,9798783596.732996,283,2393898.000000,18942285.000000,3091308.000000,2393898.000000,13457079.000000,0.163196,0.000000,0.000000,0,1.000000
7,9815021573.052994,9815021573.052994,285,2453898.000000,18942285.000000,3091308.000000,2453898.000000,13397079.000000,0.163196,0.000000,0.000000,0,1.000000
8,9798783596.732994,9798783596.732994,284,2413898.000000,18942285.000000,3096308.000000,2413898.000000,13432079.000000,0.163460,0.000000,0.000000,0,1.000000
9,9782545620.412994,9782545620.412994,283,2383898.000000,18942285.000000,3096308.000000,2383898.000000,13462079.000000,0.163460,0.000000,0.000000,0,1.000000
10,9787958279.182995,9787958279.182995,283,2363898.000000,18942285.000000,3106308.000000,2363898.000000,13472079.000000,0.163988,0.000000,0.000000,0,1.000000
