"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,7309788712.053344,7535277506.825601,0,174,0,0,yes,1.000000
24,,37395970810.533112,37395976311.829369,0,726,0,0,yes,1.000000
23,,3131991310.816770,3490089382.854511,0,94,0,0,yes,1.000000
22,,22562048708.651943,22760643996.859238,0,514,0,0,yes,1.000000
21,,2948341201.780900,3005757019.632800,0,75,0,0,yes,1.000000
20,,5414173977.005430,5434191685.538928,0,233,0,0,yes,1.000000
19,,4763035705.348945,4767530210.406221,0,134,0,0,yes,1.000000
18,,39949461.251967,46377864.424810,0,24,0,0,yes,1.000000
17,,254820459.213547,279365823.131840,0,10,0,0,yes,1.000000
16,,35735604536.685432,36478313805.327400,0,699,0,0,yes,1.000000
15,,3171604730.228514,3325423197.058589,0,160,0,0,yes,1.000000
14,,785851073.819000,834858941.071800,0,58,0,0,yes,1.000000
13,,709051867.976840,818306634.216750,0,101,0,0,yes,1.000000
12,,722559596.354160,729805634.261230,0,86,0,0,yes,1.000000
11,,1353994112.250340,1360127975.579600,0,215,0,0,yes,1.000000
10,,735549250.105760,737327881.879360,0,113,0,0,yes,1.000000
9,,1588564196.729200,1590856007.600120,0,86,0,0,yes,1.000000
8,,1719524414.880543,1957259022.155760,0,216,0,0,yes,1.000000
7,,2894990183.229482,3047599757.699710,0,214,0,0,yes,1.000000
6,,3124919915.365241,3571087159.737757,0,209,0,0,yes,1.000000
5,,2009702069.615223,2009760775.761719,0,114,0,0,yes,1.000000
4,,716946650.957694,718669901.563980,0,67,0,0,yes,1.000000
3,,1843570184.992814,1850684287.087850,0,85,0,0,yes,1.000000
2,,1282155628.860634,1445700034.810030,0,153,0,0,yes,1.000000
1,,787456196.190774,849037300.382840,0,65,0,0,yes,1.000000
