"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9870500642.788593,9870500642.788593,290,2562509.000000,18942285.000000,3105275.000000,2562509.000000,13274501.000000,0.163933,0.000000,0.000000,0,1.000000
2,9823081962.492369,9817808298.777994,285,2418108.000000,18942285.000000,3111308.000000,2418108.000000,13412869.000000,0.164252,5273663.714375,983634.121469,1,0.992505
3,9809270174.406996,9809270174.406996,285,2402874.000000,18942285.000000,3111308.000000,2402874.000000,13428103.000000,0.164252,0.000000,0.000000,0,1.000000
4,9843347307.026533,9843030467.013994,287,2499667.000000,18942285.000000,3106308.000000,2499667.000000,13336310.000000,0.163988,316840.012538,59096.420299,1,0.999550
5,9823220957.547995,9823220957.547995,285,2418108.000000,18942285.000000,3111308.000000,2418108.000000,13412869.000000,0.164252,0.000000,0.000000,0,1.000000
6,9807389863.132595,9807389863.132595,285,2390950.000000,18942285.000000,3110275.000000,2390950.000000,13441060.000000,0.164197,0.000000,0.000000,0,1.000000
7,9840342116.634995,9840342116.634995,287,2535274.000000,18942285.000000,3101308.000000,2535274.000000,13305703.000000,0.163724,0.000000,0.000000,0,1.000000
8,9834453157.002594,9834453157.002594,287,2430950.000000,18942285.000000,3120275.000000,2430950.000000,13391060.000000,0.164725,0.000000,0.000000,0,1.000000
9,9839901271.817223,9839865815.772594,287,2420950.000000,18942285.000000,3125275.000000,2420950.000000,13396060.000000,0.164989,35456.044628,6613.196669,1,0.999950
10,9823220957.547995,9823220957.547995,285,2428108.000000,18942285.000000,3106308.000000,2428108.000000,13407869.000000,0.163988,0.000000,0.000000,0,1.000000
