"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9815021573.042995,9815021573.042995,284,2413898.000000,18942285.000000,3096308.000000,2413898.000000,13432079.000000,0.163460,0.000000,0.000000,0,1.000000
2,9782545620.412994,9782545620.412994,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
3,9782545620.412994,9782545620.412994,283,2383898.000000,18942285.000000,3096308.000000,2383898.000000,13462079.000000,0.163460,0.000000,0.000000,0,1.000000
4,9817308766.231997,9817308766.231997,285,2398664.000000,18942285.000000,3111308.000000,2398664.000000,13432313.000000,0.164252,0.000000,0.000000,0,1.000000
5,9804196255.502995,9804196255.502995,284,2413898.000000,18942285.000000,3096308.000000,2413898.000000,13432079.000000,0.163460,0.000000,0.000000,0,1.000000
6,9800154652.261995,9800154652.261995,284,2442229.000000,18942285.000000,3106308.000000,2442229.000000,13393748.000000,0.163988,0.000000,0.000000,0,1.000000
7,9817893454.719994,9817893454.719994,285,2416639.000000,18942285.000000,3105275.000000,2416639.000000,13420371.000000,0.163933,0.000000,0.000000,0,1.000000
8,9783916675.941996,9783916675.941996,283,2432229.000000,18942285.000000,3096308.000000,2432229.000000,13413748.000000,0.163460,0.000000,0.000000,0,1.000000
9,9782545620.412994,9782545620.412994,283,2393898.000000,18942285.000000,3091308.000000,2393898.000000,13457079.000000,0.163196,0.000000,0.000000,0,1.000000
10,9842084866.912994,9842084866.912994,285,2443898.000000,18942285.000000,3096308.000000,2443898.000000,13402079.000000,0.163460,0.000000,0.000000,0,1.000000
