"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,911055490583.042847,23107629228.612915,831,1503202.000000,18942285.000000,11743097.000000,1503202.000000,5695986.000000,0.619941,0.000000,0.000000,0,1.000000
2,910823248729.172363,23121120356.951916,833,1502786.000000,18942285.000000,11769032.000000,1502786.000000,5670467.000000,0.621310,0.000000,0.000000,0,1.000000
3,909784910264.193115,23290181448.790913,842,1500742.000000,18942285.000000,11900934.000000,1500742.000000,5540609.000000,0.628273,0.000000,0.000000,0,1.000000
4,908896679422.676514,23497707054.386909,850,1498887.000000,18942285.000000,12020124.000000,1498887.000000,5423274.000000,0.634566,0.000000,0.000000,0,1.000000
5,908896679422.676514,23497707054.386909,850,1498887.000000,18942285.000000,12020124.000000,1498887.000000,5423274.000000,0.634566,0.000000,0.000000,0,1.000000
6,911566063183.671997,22576790176.271923,813,1504965.000000,18942285.000000,11469187.000000,1504965.000000,5968133.000000,0.605481,0.000000,0.000000,0,1.000000
7,910584096856.658447,23178502035.084915,837,1502284.000000,18942285.000000,11825269.000000,1502284.000000,5614732.000000,0.624279,0.000000,0.000000,0,1.000000
8,908657527550.162476,23555088732.519909,854,1498385.000000,18942285.000000,12076361.000000,1498385.000000,5367539.000000,0.637535,0.000000,0.000000,0,1.000000
9,909784910264.193115,23290181448.790913,842,1500742.000000,18942285.000000,11900934.000000,1500742.000000,5540609.000000,0.628273,0.000000,0.000000,0,1.000000
10,893421752388.146729,22450141456.124924,809,1474463.000000,18942285.000000,11420424.000000,1474463.000000,6047398.000000,0.602906,0.000000,0.000000,0,1.000000
