i,Targ,cost
1,0,9682818909.52999
2,0.111111111111111,9830910245.06263
3,0.222222222222222,10709712212.4045
4,0.333333333333333,11839797011.415
5,0.444444444444444,13280881337.1864
6,0.555555555555556,15204008199.1607
7,0.666666666666667,17341441362.3005
8,0.777777777777778,19758217450.9439
9,0.888888888888889,22713897082.3791
10,1,26865623773.3801
