"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,7309788712.053344,7725777484.065851,0,181,0,0,yes,1.000000
24,,37395970810.533112,37395980537.413376,0,724,0,0,yes,1.000000
23,,3131991310.816770,3391412918.102591,0,93,0,0,yes,1.000000
22,,22562048708.651943,22768858075.406559,0,517,0,0,yes,1.000000
21,,2948341201.780900,2975295557.445789,0,75,0,0,yes,1.000000
20,,5414173977.005430,5728689779.652260,0,241,0,0,yes,1.000000
19,,4763035705.348945,4782815034.691391,0,136,0,0,yes,1.000000
18,,39949461.251967,46596130.596200,0,26,0,0,yes,1.000000
17,,254820459.213547,299459426.943360,0,10,0,0,yes,1.000000
16,,35735604536.685432,36241402357.739983,0,698,0,0,yes,1.000000
15,,3171604730.228514,3321160389.167960,0,158,0,0,yes,1.000000
14,,785851073.819000,892015441.924300,0,63,0,0,yes,1.000000
13,,709051867.976840,810937528.717730,0,101,0,0,yes,1.000000
12,,722559596.354160,742805361.366180,0,84,0,0,yes,1.000000
11,,1353994112.250340,1374158851.777330,0,211,0,0,yes,1.000000
10,,735549250.105760,736687754.276350,0,109,0,0,yes,1.000000
9,,1588564196.729200,1600142020.506870,0,90,0,0,yes,1.000000
8,,1719524414.880543,1926496093.462890,0,212,0,0,yes,1.000000
7,,2894990183.229482,2905794698.406740,0,209,0,0,yes,1.000000
6,,3124919915.365241,3508728538.532218,0,205,0,0,yes,1.000000
5,,2009702069.615223,2022094986.026359,0,112,0,0,yes,1.000000
4,,716946650.957694,717328859.200210,0,68,0,0,yes,1.000000
3,,1843570184.992814,1885401867.030720,0,85,0,0,yes,1.000000
2,,1282155628.860634,1320133201.871540,0,155,0,0,yes,1.000000
1,,787456196.190774,829860131.099630,0,67,0,0,yes,1.000000
