"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,10964683068.080011,10964683068.080011,0,276,0,0,yes,1.000000
24,,56093956215.799637,56093956215.799637,0,1123,0,0,yes,1.000000
23,,4697986966.225152,4697986966.225152,0,155,0,0,yes,1.000000
22,,33843073062.977901,33843073062.977901,0,786,0,0,yes,1.000000
21,,4422511802.671349,4422511802.671349,0,119,0,0,yes,1.000000
20,,8121260965.508142,8121260965.508142,0,380,0,0,yes,1.000000
19,,7144553558.023414,7144553558.023414,0,203,0,0,yes,1.000000
18,,59924191.877950,59924191.877950,0,43,0,0,yes,1.000000
17,,382230688.820320,382230688.820320,0,15,0,0,yes,1.000000
16,,53603406805.028130,53603406805.028130,0,1079,0,0,yes,1.000000
15,,4757407095.342769,4757407095.342769,0,243,0,0,yes,1.000000
14,,1178776610.728500,1178776610.728500,0,92,0,0,yes,1.000000
13,,1063577801.965260,1063577801.965260,0,139,0,0,yes,1.000000
12,,1083839394.531240,1083839394.531240,0,124,0,0,yes,1.000000
11,,2030991168.375509,2030991168.375509,0,304,0,0,yes,1.000000
10,,1103323875.158640,1103323875.158640,0,172,0,0,yes,1.000000
9,,2382846295.093800,2382846295.093800,0,140,0,0,yes,1.000000
8,,2579286622.320813,2579286622.320813,0,305,0,0,yes,1.000000
7,,4342485274.844221,4342485274.844221,0,300,0,0,yes,1.000000
6,,4687379873.047859,4687379873.047859,0,299,0,0,yes,1.000000
5,,3014553104.422833,3014553104.422833,0,175,0,0,yes,1.000000
4,,1075419976.436540,1075419976.436540,0,109,0,0,yes,1.000000
3,,2765355277.489219,2765355277.489219,0,133,0,0,yes,1.000000
2,,1923233443.290951,1923233443.290951,0,231,0,0,yes,1.000000
1,,1181184294.286160,1181184294.286160,0,92,0,0,yes,1.000000
