"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,1218298118.675555,1597938577.571750,0,36,0,0,yes,1.000000
24,,6232661801.755508,12252427137.802197,0,270,0,0,yes,1.000000
23,,521998551.802794,2026061923.484390,0,46,0,0,yes,1.000000
22,,3760341451.441985,4304548008.011220,0,125,0,0,yes,1.000000
21,,491390200.296816,554040440.514170,0,13,0,0,yes,1.000000
20,,902362329.500904,1243978120.545370,0,57,0,0,yes,1.000000
19,,793839284.224823,811809962.213850,0,27,0,0,yes,1.000000
18,,6658243.541994,6767886.121580,0,3,0,0,yes,1.000000
17,,42470076.535591,79791606.939450,0,4,0,0,yes,1.000000
16,,5955934089.447564,15866275076.141430,0,279,0,0,yes,1.000000
15,,528600788.371418,707006168.894030,0,23,0,0,yes,1.000000
14,,130975178.969833,226088439.212400,0,9,0,0,yes,1.000000
13,,118175311.329473,536168366.163060,0,71,0,0,yes,1.000000
12,,120426599.392360,516290200.127920,0,52,0,0,yes,1.000000
11,,225665685.375056,937823203.549290,0,158,0,0,yes,1.000000
10,,122591541.684293,309403495.919380,0,52,0,0,yes,1.000000
9,,264760699.454866,291678096.499500,0,19,0,0,yes,1.000000
8,,286587402.480090,1577299475.053711,0,159,0,0,yes,1.000000
7,,482498363.871580,2079373085.133800,0,159,0,0,yes,1.000000
6,,520819985.894206,3110367870.165517,0,152,0,0,yes,1.000000
5,,334950344.935870,989333912.152340,0,52,0,0,yes,1.000000
4,,119491108.492949,162697481.577650,0,9,0,0,yes,1.000000
3,,307261697.498802,318436074.521470,0,18,0,0,yes,1.000000
2,,213692604.810105,223221130.399900,0,22,0,0,yes,1.000000
1,,131242699.365129,142169715.486340,0,6,0,0,yes,1.000000
