"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,2436596237.351111,2638440345.366679,0,69,0,0,yes,1.000000
24,,12465323603.511017,15541193125.817778,0,338,0,0,yes,1.000000
23,,1043997103.605588,2092604754.398940,0,50,0,0,yes,1.000000
22,,7520682902.883970,7520817017.600039,0,192,0,0,yes,1.000000
21,,982780400.593632,999069550.762220,0,23,0,0,yes,1.000000
20,,1804724659.001807,1849593384.436970,0,89,0,0,yes,1.000000
19,,1587678568.449646,1591940951.748530,0,46,0,0,yes,1.000000
18,,13316487.083989,34108496.876460,0,9,0,0,yes,1.000000
17,,84940153.071182,100174228.919430,0,6,0,0,yes,1.000000
16,,11911868178.895128,18509207414.663853,0,344,0,0,yes,1.000000
15,,1057201576.742836,1211774618.832510,0,56,0,0,yes,1.000000
14,,261950357.939666,306526906.603020,0,16,0,0,yes,1.000000
13,,236350622.658946,509711696.373510,0,73,0,0,yes,1.000000
12,,240853198.784720,516861290.049310,0,53,0,0,yes,1.000000
11,,451331370.750113,940518822.299290,0,159,0,0,yes,1.000000
10,,245183083.368586,314910146.965760,0,55,0,0,yes,1.000000
9,,529521398.909733,542299708.653800,0,28,0,0,yes,1.000000
8,,573174804.960180,1579615522.138671,0,160,0,0,yes,1.000000
7,,964996727.743159,2103866707.898450,0,160,0,0,yes,1.000000
6,,1041639971.788412,3110774467.290027,0,153,0,0,yes,1.000000
5,,669900689.871740,1068439825.324210,0,55,0,0,yes,1.000000
4,,238982216.985898,250276280.674820,0,20,0,0,yes,1.000000
3,,614523394.997604,623846810.323730,0,27,0,0,yes,1.000000
2,,427385209.620211,529084435.988300,0,52,0,0,yes,1.000000
1,,262485398.730258,276467503.931160,0,14,0,0,yes,1.000000
