"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,13227933267.377264,13227933267.377264,527,6964440.000000,18942285.000000,4597151.000000,6964440.000000,7380694.000000,0.242693,0.000000,0.000000,0,1.000000
2,13313620584.492495,13313596569.923489,524,7036472.000000,18942285.000000,4554168.000000,7036472.000000,7351645.000000,0.240423,24014.569005,5972.426222,1,1.000000
3,13278585327.544258,13278585327.544258,519,6981773.000000,18942285.000000,4556501.000000,6981773.000000,7404011.000000,0.240547,0.000000,0.000000,0,1.000000
4,13289708722.686625,13289708722.686625,517,6874728.000000,18942285.000000,4567896.000000,6874728.000000,7499661.000000,0.241148,0.000000,0.000000,0,1.000000
5,13261686440.886457,13261686440.886457,520,7004361.000000,18942285.000000,4568570.000000,7004361.000000,7369354.000000,0.241184,0.000000,0.000000,0,1.000000
6,13295258343.469807,13295258343.469807,525,7204263.000000,18942285.000000,4481199.000000,7204263.000000,7256823.000000,0.236571,0.000000,0.000000,0,1.000000
7,13305474438.289534,13305474438.289534,522,6867794.000000,18942285.000000,4589811.000000,6867794.000000,7484680.000000,0.242305,0.000000,0.000000,0,1.000000
8,13232581254.088064,13232581254.088064,523,6979326.000000,18942285.000000,4576469.000000,6979326.000000,7386490.000000,0.241601,0.000000,0.000000,0,1.000000
9,13330621024.576660,13330621024.576660,520,6909700.000000,18942285.000000,4602882.000000,6909700.000000,7429703.000000,0.242995,0.000000,0.000000,0,1.000000
10,13273367983.021664,13273367983.021664,528,7011153.000000,18942285.000000,4601928.000000,7011153.000000,7329204.000000,0.242945,0.000000,0.000000,0,1.000000
