"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9792810040.368778,9771720302.862995,282,2353898.000000,18942285.000000,3096308.000000,2353898.000000,13492079.000000,0.163460,0.000000,0.000000,0,1.000000
2,9814011016.480707,9787958279.182995,283,2353898.000000,18942285.000000,3111308.000000,2353898.000000,13477079.000000,0.164252,4962999.791930,1067158.823626,1,0.990965
3,9822125385.876652,9800154652.261995,284,2452229.000000,18942285.000000,3101308.000000,2452229.000000,13388748.000000,0.163724,0.000000,0.000000,0,1.000000
4,9794645095.488464,9771720302.862995,282,2343898.000000,18942285.000000,3101308.000000,2343898.000000,13497079.000000,0.163724,1924650.070299,413843.923236,1,0.996496
5,9803635357.918777,9782545620.412994,283,2353898.000000,18942285.000000,3111308.000000,2353898.000000,13477079.000000,0.164252,0.000000,0.000000,0,1.000000
6,9830849320.155701,9808860353.968596,286,2454264.000000,18942285.000000,3102441.000000,2454264.000000,13385580.000000,0.163784,0.000000,0.000000,0,1.000000
7,9842240728.933681,9820434231.822994,285,2433898.000000,18942285.000000,3101308.000000,2433898.000000,13407079.000000,0.163724,0.000000,0.000000,0,1.000000
8,9803814547.820004,9782545620.412994,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
9,9814819055.261230,9793370937.952995,283,2393898.000000,18942285.000000,3091308.000000,2393898.000000,13457079.000000,0.163196,0.000000,0.000000,0,1.000000
10,9809316801.540617,9787958279.182995,283,2383898.000000,18942285.000000,3096308.000000,2383898.000000,13462079.000000,0.163460,0.000000,0.000000,0,1.000000
