"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,7309788712.053344,7478022842.076611,0,166,0,0,yes,1.000000
24,,37395970810.533112,37396980128.664261,0,708,0,0,yes,1.000000
23,,3131991310.816770,3571487483.930211,0,97,0,0,yes,1.000000
22,,22562048708.651943,22644154560.748886,0,490,0,0,yes,1.000000
21,,2948341201.780900,2949045221.215320,0,73,0,0,yes,1.000000
20,,5414173977.005430,5451979118.785110,0,221,0,0,yes,1.000000
19,,4763035705.348945,4818027494.949692,0,134,0,0,yes,1.000000
18,,39949461.251967,40465943.682630,0,21,0,0,yes,1.000000
17,,254820459.213547,345839114.313970,0,11,0,0,yes,1.000000
16,,35735604536.685432,36506128158.479225,0,684,0,0,yes,1.000000
15,,3171604730.228514,3245011438.062009,0,155,0,0,yes,1.000000
14,,785851073.819000,809356091.467270,0,51,0,0,yes,1.000000
13,,709051867.976840,783467568.837350,0,102,0,0,yes,1.000000
12,,722559596.354160,780129726.250960,0,86,0,0,yes,1.000000
11,,1353994112.250340,1354588755.747570,0,214,0,0,yes,1.000000
10,,735549250.105760,736103936.557580,0,114,0,0,yes,1.000000
9,,1588564196.729200,1632831989.288600,0,86,0,0,yes,1.000000
8,,1719524414.880543,1913054544.766601,0,216,0,0,yes,1.000000
7,,2894990183.229482,2965600693.968248,0,215,0,0,yes,1.000000
6,,3124919915.365241,3697581180.862768,0,208,0,0,yes,1.000000
5,,2009702069.615223,2032228580.532229,0,115,0,0,yes,1.000000
4,,716946650.957694,728754100.584000,0,67,0,0,yes,1.000000
3,,1843570184.992814,1870791475.566880,0,87,0,0,yes,1.000000
2,,1282155628.860634,1370676347.470190,0,149,0,0,yes,1.000000
1,,787456196.190774,828869364.849150,0,64,0,0,yes,1.000000
