"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,19746156878.917625,19746156878.917625,846,7152538.000000,18942285.000000,9405993.000000,7152538.000000,2383754.000000,0.496561,0.000000,0.000000,0,1.000000
2,19785055933.708225,19785055933.708225,844,7287494.000000,18942285.000000,9341333.000000,7287494.000000,2313458.000000,0.493147,0.000000,0.000000,0,1.000000
3,19717824590.238514,19717824590.238514,847,7219836.000000,18942285.000000,9386609.000000,7219836.000000,2335840.000000,0.495537,0.000000,0.000000,0,1.000000
4,19858905650.228733,19858905650.228733,841,7355708.000000,18942285.000000,9263794.000000,7355708.000000,2322783.000000,0.489054,0.000000,0.000000,0,1.000000
5,19760050299.879524,19760050299.879524,842,7351597.000000,18942285.000000,9256969.000000,7351597.000000,2333719.000000,0.488693,0.000000,0.000000,0,1.000000
6,19733867938.067169,19733867938.067169,848,7326083.000000,18942285.000000,9369990.000000,7326083.000000,2246212.000000,0.494660,0.000000,0.000000,0,1.000000
7,19745771901.817162,19745771901.817162,847,7289945.000000,18942285.000000,9328666.000000,7289945.000000,2323674.000000,0.492478,0.000000,0.000000,0,1.000000
8,19678809990.095123,19678809990.095123,848,7260416.000000,18942285.000000,9433481.000000,7260416.000000,2248388.000000,0.498012,0.000000,0.000000,0,1.000000
9,19767418171.050816,19767418171.050816,844,7477635.000000,18942285.000000,9223764.000000,7477635.000000,2240886.000000,0.486940,0.000000,0.000000,0,1.000000
10,19788313155.436424,19788313155.436424,845,7417897.000000,18942285.000000,9293084.000000,7417897.000000,2231304.000000,0.490600,0.000000,0.000000,0,1.000000
