"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,4873192474.702222,5339504711.245587,0,125,0,0,yes,1.000000
24,,24930647207.022034,24930784597.081882,0,506,0,0,yes,1.000000
23,,2087994207.211176,2601143237.130390,0,67,0,0,yes,1.000000
22,,15041365805.767941,15053489384.000381,0,341,0,0,yes,1.000000
21,,1965560801.187264,1974736171.488270,0,47,0,0,yes,1.000000
20,,3609449318.003614,3836405202.464739,0,163,0,0,yes,1.000000
19,,3175357136.899292,3182374337.138659,0,87,0,0,yes,1.000000
18,,26632974.167978,39289436.639650,0,18,0,0,yes,1.000000
17,,169880306.142364,288349500.200200,0,9,0,0,yes,1.000000
16,,23823736357.790257,26171791353.623283,0,496,0,0,yes,1.000000
15,,2114403153.485673,2325319005.270940,0,109,0,0,yes,1.000000
14,,523900715.879333,608146564.581040,0,40,0,0,yes,1.000000
13,,472701245.317893,649254763.315380,0,86,0,0,yes,1.000000
12,,481706397.569439,579203686.540520,0,64,0,0,yes,1.000000
11,,902662741.500225,1013667395.745100,0,168,0,0,yes,1.000000
10,,490366166.737173,495162056.165480,0,75,0,0,yes,1.000000
9,,1059042797.819465,1062219664.665530,0,55,0,0,yes,1.000000
8,,1146349609.920360,1638768037.413081,0,169,0,0,yes,1.000000
7,,1929993455.486318,2118358098.907710,0,168,0,0,yes,1.000000
6,,2083279943.576824,3207310920.777807,0,162,0,0,yes,1.000000
5,,1339801379.743480,1430970895.212399,0,76,0,0,yes,1.000000
4,,477964433.971795,479511131.004400,0,45,0,0,yes,1.000000
3,,1229046789.995207,1231422298.563440,0,57,0,0,yes,1.000000
2,,854770419.240422,927208304.526350,0,103,0,0,yes,1.000000
1,,524970797.460515,535929154.792980,0,39,0,0,yes,1.000000
