"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9782545620.412994,9782545620.412994,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
2,9793370937.952995,9793370937.952995,283,2383898.000000,18942285.000000,3096308.000000,2383898.000000,13462079.000000,0.163460,0.000000,0.000000,0,1.000000
3,9817808298.777994,9817808298.777994,285,2398108.000000,18942285.000000,3121308.000000,2398108.000000,13422869.000000,0.164780,0.000000,0.000000,0,1.000000
4,9821805287.351995,9821805287.351995,285,2472229.000000,18942285.000000,3106308.000000,2472229.000000,13363748.000000,0.163988,0.000000,0.000000,0,1.000000
5,9791529812.328995,9791529812.328995,284,2405457.000000,18942285.000000,3106308.000000,2405457.000000,13430520.000000,0.163988,0.000000,0.000000,0,1.000000
6,9820434231.822994,9820434231.822994,285,2423898.000000,18942285.000000,3106308.000000,2423898.000000,13412079.000000,0.163988,0.000000,0.000000,0,1.000000
7,9782545620.412994,9782545620.412994,283,2363898.000000,18942285.000000,3106308.000000,2363898.000000,13472079.000000,0.163988,0.000000,0.000000,0,1.000000
8,9798783596.732994,9798783596.732994,284,2413898.000000,18942285.000000,3096308.000000,2413898.000000,13432079.000000,0.163460,0.000000,0.000000,0,1.000000
9,9798783596.732994,9798783596.732994,284,2423898.000000,18942285.000000,3091308.000000,2423898.000000,13427079.000000,0.163196,0.000000,0.000000,0,1.000000
10,9800154652.261995,9800154652.261995,284,2452229.000000,18942285.000000,3101308.000000,2452229.000000,13388748.000000,0.163724,0.000000,0.000000,0,1.000000
