"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,15016660023408431104.000000,23408431331.991917,850,1501666.000000,18942285.000000,12017171.000000,1501666.000000,5423448.000000,0.634410,0.000000,0.000000,0,1.000000
2,14988010023541598208.000000,23541597604.180908,852,1498801.000000,18942285.000000,12050426.000000,1498801.000000,5393058.000000,0.636165,0.000000,0.000000,0,1.000000
3,14988870023497707520.000000,23497707054.386909,850,1498887.000000,18942285.000000,12020124.000000,1498887.000000,5423274.000000,0.634566,0.000000,0.000000,0,1.000000
4,17019090018328528896.000000,18328527957.565952,600,1701909.000000,18942285.000000,8179123.000000,1701909.000000,9061253.000000,0.431792,0.000000,0.000000,0,1.000000
5,15027860023121121280.000000,23121120356.951916,833,1502786.000000,18942285.000000,11769032.000000,1502786.000000,5670467.000000,0.621310,0.000000,0.000000,0,1.000000
6,15007420023290181632.000000,23290181448.790913,842,1500742.000000,18942285.000000,11900934.000000,1500742.000000,5540609.000000,0.628273,0.000000,0.000000,0,1.000000
7,15006560023334072320.000000,23334071998.584911,844,1500656.000000,18942285.000000,11931236.000000,1500656.000000,5510393.000000,0.629873,0.000000,0.000000,0,1.000000
8,14744630022450141184.000000,22450141456.124924,809,1474463.000000,18942285.000000,11420424.000000,1474463.000000,6047398.000000,0.602906,0.000000,0.000000,0,1.000000
9,15027860023121121280.000000,23121120356.951916,833,1502786.000000,18942285.000000,11769032.000000,1502786.000000,5670467.000000,0.621310,0.000000,0.000000,0,1.000000
10,14983850023555088384.000000,23555088732.519909,854,1498385.000000,18942285.000000,12076361.000000,1498385.000000,5367539.000000,0.637535,0.000000,0.000000,0,1.000000
