"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,15172471506.942587,15171469070.196028,622,7598433.000000,18942285.000000,5832555.000000,7598433.000000,5511297.000000,0.307912,1002436.746560,192918.906466,1,0.999092
2,15289306831.267551,15289306831.267551,627,7736811.000000,18942285.000000,5822202.000000,7736811.000000,5383272.000000,0.307365,0.000000,0.000000,0,1.000000
3,15184018681.592918,15183385944.423714,631,8054560.000000,18942285.000000,5712315.000000,8054560.000000,5175410.000000,0.301564,632737.169205,82055.378785,1,0.999863
4,15091716501.553865,15091716501.553865,622,7641056.000000,18942285.000000,5773385.000000,7641056.000000,5527844.000000,0.304788,0.000000,0.000000,0,1.000000
5,15221490119.196247,15221490119.196247,627,8019424.000000,18942285.000000,5682384.000000,8019424.000000,5240477.000000,0.299984,0.000000,0.000000,0,1.000000
6,15188930556.115625,15188930556.115625,627,7762731.000000,18942285.000000,5760029.000000,7762731.000000,5419525.000000,0.304083,0.000000,0.000000,0,1.000000
7,15141622034.831352,15141622034.831352,633,7822022.000000,18942285.000000,5787000.000000,7822022.000000,5333263.000000,0.305507,0.000000,0.000000,0,1.000000
8,15274526018.765417,15274518757.245989,630,8030710.000000,18942285.000000,5654639.000000,8030710.000000,5256936.000000,0.298519,7261.519428,1634.229446,1,1.000000
9,15306168469.078247,15306168469.078247,623,7973805.000000,18942285.000000,5654288.000000,7973805.000000,5314192.000000,0.298501,0.000000,0.000000,0,1.000000
10,15172401014.307016,15171473707.698311,634,8112111.000000,18942285.000000,5704510.000000,8112111.000000,5125664.000000,0.301152,927306.608706,120256.085356,1,0.999799
