"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,10738395551.515570,10737779897.376930,361,4564817.000000,18942285.000000,3306403.000000,4564817.000000,11071065.000000,0.174551,615654.138640,38447.390139,1,0.997113
2,10717436375.533384,10717436375.533384,354,4360017.000000,18942285.000000,3334983.000000,4360017.000000,11247285.000000,0.176060,0.000000,0.000000,0,1.000000
3,10736198200.537098,10736029334.632511,363,4610116.000000,18942285.000000,3255356.000000,4610116.000000,11076813.000000,0.171857,168865.904587,30479.723879,1,0.999996
4,10729915717.944584,10729915717.944584,355,4474242.000000,18942285.000000,3238617.000000,4474242.000000,11229426.000000,0.170973,0.000000,0.000000,0,1.000000
5,10677902300.066982,10677902300.066982,355,4266657.000000,18942285.000000,3351823.000000,4266657.000000,11323805.000000,0.176949,0.000000,0.000000,0,1.000000
6,10700441689.659384,10700441689.659384,355,4433554.000000,18942285.000000,3313291.000000,4433554.000000,11195440.000000,0.174915,0.000000,0.000000,0,1.000000
7,10741581631.657640,10741445017.853586,354,4278239.000000,18942285.000000,3320549.000000,4278239.000000,11343497.000000,0.175298,136613.804054,22471.993694,1,0.999963
8,10645108968.912584,10645108968.912584,355,4419616.000000,18942285.000000,3278976.000000,4419616.000000,11243693.000000,0.173104,0.000000,0.000000,0,1.000000
9,10726394431.518686,10726394431.518686,362,4321254.000000,18942285.000000,3348294.000000,4321254.000000,11272737.000000,0.176763,0.000000,0.000000,0,1.000000
10,10684668390.545984,10684668390.545984,355,4395861.000000,18942285.000000,3303287.000000,4395861.000000,11243137.000000,0.174387,0.000000,0.000000,0,1.000000
