"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,11793057632.260872,11793057632.260872,429,5630920.000000,18942285.000000,3809038.000000,5630920.000000,9502327.000000,0.201087,0.000000,0.000000,0,1.000000
2,11890936342.220970,11890936342.220970,423,5532556.000000,18942285.000000,3791366.000000,5532556.000000,9618363.000000,0.200154,0.000000,0.000000,0,1.000000
3,11828296409.351971,11828296409.351971,428,5646337.000000,18942285.000000,3814387.000000,5646337.000000,9481561.000000,0.201369,0.000000,0.000000,0,1.000000
4,11741662031.689968,11741662031.689968,424,5536650.000000,18942285.000000,3741776.000000,5536650.000000,9663859.000000,0.197536,0.000000,0.000000,0,1.000000
5,11830143508.046175,11828575073.050776,433,5637447.000000,18942285.000000,3821889.000000,5637447.000000,9482949.000000,0.201765,1568434.995399,201787.260109,1,0.999746
6,11820290876.725250,11820042001.559473,428,5579571.000000,18942285.000000,3816858.000000,5579571.000000,9545856.000000,0.201499,248875.165778,32019.075039,1,0.999960
7,11855986888.083130,11854317110.312868,429,5650781.000000,18942285.000000,3792055.000000,5650781.000000,9499449.000000,0.200190,1669777.770261,296251.513836,1,0.999248
8,11923039261.860067,11923039261.860067,434,5686802.000000,18942285.000000,3864323.000000,5686802.000000,9391160.000000,0.204005,0.000000,0.000000,0,1.000000
9,11882855114.971409,11879038434.111870,425,5619089.000000,18942285.000000,3796663.000000,5619089.000000,9526533.000000,0.200433,3816680.859539,677154.470856,1,0.998280
10,11839322723.791054,11839005817.731468,427,5562571.000000,18942285.000000,3797352.000000,5562571.000000,9582362.000000,0.200470,316906.059586,44545.954406,1,0.999876
