"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,9746384949.404455,9829089393.460379,0,225,0,0,yes,1.000000
24,,49861294414.044128,49861307705.822037,0,946,0,0,yes,1.000000
23,,4175988414.422358,4323202076.096232,0,123,0,0,yes,1.000000
22,,30082731611.535915,30097985425.277679,0,662,0,0,yes,1.000000
21,,3931121602.374532,3933115460.464839,0,104,0,0,yes,1.000000
20,,7218898636.007237,7256679677.191769,0,301,0,0,yes,1.000000
19,,6350714273.798591,6355847067.895003,0,175,0,0,yes,1.000000
18,,53265948.335956,53600278.103530,0,32,0,0,yes,1.000000
17,,339760612.284729,373560254.535650,0,13,0,0,yes,1.000000
16,,47647472715.580566,47658157084.166252,0,909,0,0,yes,1.000000
15,,4228806306.971350,4237004657.311049,0,201,0,0,yes,1.000000
14,,1047801431.758666,1076496011.387190,0,77,0,0,yes,1.000000
13,,945402490.635787,948633707.252390,0,119,0,0,yes,1.000000
12,,963412795.138880,986019620.760720,0,108,0,0,yes,1.000000
11,,1805325483.000453,1805652986.076679,0,266,0,0,yes,1.000000
10,,980732333.474346,995595199.422339,0,151,0,0,yes,1.000000
9,,2118085595.638933,2232070578.270059,0,125,0,0,yes,1.000000
8,,2292699219.840723,2304436106.944820,0,268,0,0,yes,1.000000
7,,3859986910.972641,3880360414.750959,0,264,0,0,yes,1.000000
6,,4166559887.153653,4204489087.365217,0,260,0,0,yes,1.000000
5,,2679602759.486963,2679659522.552732,0,153,0,0,yes,1.000000
4,,955928867.943591,963002364.388190,0,98,0,0,yes,1.000000
3,,2458093579.990417,2497702207.198691,0,116,0,0,yes,1.000000
2,,1709540838.480845,1735011212.732360,0,195,0,0,yes,1.000000
1,,1049941594.921031,1069394775.553730,0,84,0,0,yes,1.000000
