i,SPF,cost,shortfall
1,1e-04,9682818909.52999,258726845.056399
2,0.00774263682681128,9682818909.52999,258726845.056399
3,0.599484250318941,9722874491.12094,95350021.0840337
4,46.4158883361278,9795351888.90359,4751.5521376
5,3593.81366380463,9796708631.76439,0
6,278255.940220712,9802821310.5854,0
7,21544346.9003189,9801847079.43359,0
8,1668100537.20006,9796505015.43545,0
9,129154966501.489,9800776165.4789,0
10,1e+13,9796618533.22199,0
