i,BLM,cost,boundary length
1,0,9788698900.13635,2388600.8
2,5.29241211659461e-07,9788698900.13635,2388600.8
3,0.000135892956774077,9788698900.13635,2388600.8
4,0.0348931551322266,9788698900.13635,2388600.8
5,8.9594950612914,9790726858.09245,2389767.7
6,2300.52431341088,9949421062.89999,2184639
7,590704.284157705,23156504899.1922,1498534.3
8,151674793.997252,23120138974.6516,1492211.7
9,38945448257.4347,22693694338.1692,1518583.5
10,1e+13,22764798829.805,1518108.1
