"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,2436596237.351111,2788941750.630350,0,68,0,0,yes,1.000000
24,,12465323603.511017,15686024337.809492,0,338,0,0,yes,1.000000
23,,1043997103.605588,2049201709.070820,0,49,0,0,yes,1.000000
22,,7520682902.883970,7521016552.457454,0,192,0,0,yes,1.000000
21,,982780400.593632,1001030956.908210,0,21,0,0,yes,1.000000
20,,1804724659.001807,1913292421.874440,0,90,0,0,yes,1.000000
19,,1587678568.449646,1639219500.206520,0,48,0,0,yes,1.000000
18,,13316487.083989,31836703.044430,0,4,0,0,yes,1.000000
17,,84940153.071182,223516173.094240,0,8,0,0,yes,1.000000
16,,11911868178.895128,18589021282.962196,0,342,0,0,yes,1.000000
15,,1057201576.742836,1311283337.284170,0,55,0,0,yes,1.000000
14,,261950357.939666,311578211.587400,0,18,0,0,yes,1.000000
13,,236350622.658946,507397131.583470,0,71,0,0,yes,1.000000
12,,240853198.784720,516558978.560540,0,53,0,0,yes,1.000000
11,,451331370.750113,938140457.217750,0,159,0,0,yes,1.000000
10,,245183083.368586,310508860.344180,0,54,0,0,yes,1.000000
9,,529521398.909733,546634354.467760,0,29,0,0,yes,1.000000
8,,573174804.960180,1577309473.459471,0,160,0,0,yes,1.000000
7,,964996727.743159,2079376864.348160,0,160,0,0,yes,1.000000
6,,1041639971.788412,3110482406.418938,0,153,0,0,yes,1.000000
5,,669900689.871740,1007498545.635250,0,54,0,0,yes,1.000000
4,,238982216.985898,252279426.426280,0,18,0,0,yes,1.000000
3,,614523394.997604,637623870.088360,0,26,0,0,yes,1.000000
2,,427385209.620211,504548360.355480,0,52,0,0,yes,1.000000
1,,262485398.730258,281021193.245140,0,17,0,0,yes,1.000000
