"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
2,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
3,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
4,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
5,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
6,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
7,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
8,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
9,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
10,26865623773.380142,26865623773.380142,1144,3915190.000000,18942285.000000,15026454.000000,3915190.000000,641.000000,0.793276,0.000000,0.000000,0,1.000000
