"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,7309788712.053344,7319236681.851019,0,167,0,0,yes,1.000000
24,,37395970810.533112,37395987770.267349,0,714,0,0,yes,1.000000
23,,3131991310.816770,3319490381.078151,0,86,0,0,yes,1.000000
22,,22562048708.651943,22628451553.975441,0,503,0,0,yes,1.000000
21,,2948341201.780900,2963969858.391099,0,77,0,0,yes,1.000000
20,,5414173977.005430,5426595084.073171,0,218,0,0,yes,1.000000
19,,4763035705.348945,4829976729.243631,0,134,0,0,yes,1.000000
18,,39949461.251967,45278308.171390,0,25,0,0,yes,1.000000
17,,254820459.213547,323094842.950690,0,8,0,0,yes,1.000000
16,,35735604536.685432,36167188614.016853,0,689,0,0,yes,1.000000
15,,3171604730.228514,3182533575.965828,0,155,0,0,yes,1.000000
14,,785851073.819000,816322154.523910,0,58,0,0,yes,1.000000
13,,709051867.976840,841251405.443810,0,104,0,0,yes,1.000000
12,,722559596.354160,756960764.051250,0,80,0,0,yes,1.000000
11,,1353994112.250340,1360408588.292480,0,209,0,0,yes,1.000000
10,,735549250.105760,739072749.522440,0,109,0,0,yes,1.000000
9,,1588564196.729200,1650024084.337930,0,88,0,0,yes,1.000000
8,,1719524414.880543,1910756696.949691,0,211,0,0,yes,1.000000
7,,2894990183.229482,2984997171.587399,0,211,0,0,yes,1.000000
6,,3124919915.365241,3643239122.706508,0,203,0,0,yes,1.000000
5,,2009702069.615223,2029025926.448709,0,111,0,0,yes,1.000000
4,,716946650.957694,732509825.276839,0,70,0,0,yes,1.000000
3,,1843570184.992814,1879752340.861290,0,87,0,0,yes,1.000000
2,,1282155628.860634,1429516228.254880,0,152,0,0,yes,1.000000
1,,787456196.190774,823722885.244630,0,65,0,0,yes,1.000000
