"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9782545620.412994,9782545620.412994,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
2,9798783596.732994,9798783596.732994,284,2413898.000000,18942285.000000,3096308.000000,2413898.000000,13432079.000000,0.163460,0.000000,0.000000,0,1.000000
3,9798783596.732994,9798783596.732994,284,2383898.000000,18942285.000000,3111308.000000,2383898.000000,13447079.000000,0.164252,0.000000,0.000000,0,1.000000
4,9793370937.952995,9793370937.952995,283,2353898.000000,18942285.000000,3111308.000000,2353898.000000,13477079.000000,0.164252,0.000000,0.000000,0,1.000000
5,9823306113.489994,9823306113.489994,285,2396639.000000,18942285.000000,3115275.000000,2396639.000000,13430371.000000,0.164461,0.000000,0.000000,0,1.000000
6,9786117153.558994,9786117153.558994,284,2405457.000000,18942285.000000,3106308.000000,2405457.000000,13430520.000000,0.163988,0.000000,0.000000,0,1.000000
7,9787958279.182995,9787958279.182995,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
8,9820434231.822996,9820434231.822996,285,2443898.000000,18942285.000000,3096308.000000,2443898.000000,13402079.000000,0.163460,0.000000,0.000000,0,1.000000
9,9785792345.284540,9785792345.284540,286,2433902.000000,18942285.000000,3102137.000000,2433902.000000,13406246.000000,0.163768,0.000000,0.000000,0,1.000000
10,9787958279.182995,9787958279.182995,283,2383898.000000,18942285.000000,3096308.000000,2383898.000000,13462079.000000,0.163460,0.000000,0.000000,0,1.000000
