"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,8528086830.728900,8770810482.875420,0,200,0,0,yes,1.000000
24,,43628632612.288620,43628637233.561340,0,830,0,0,yes,1.000000
23,,3653989862.619564,3900137883.665071,0,107,0,0,yes,1.000000
22,,26322390160.093933,26445520641.414406,0,582,0,0,yes,1.000000
21,,3439731402.077717,3449881351.787589,0,89,0,0,yes,1.000000
20,,6316536306.506334,6418566974.654670,0,266,0,0,yes,1.000000
19,,5556874989.573768,5575440565.448205,0,157,0,0,yes,1.000000
18,,46607704.793961,47600242.141610,0,30,0,0,yes,1.000000
17,,297290535.749138,343477464.930670,0,10,0,0,yes,1.000000
16,,41691538626.133003,41901538465.587700,0,800,0,0,yes,1.000000
15,,3700205518.599932,3835900834.641119,0,184,0,0,yes,1.000000
14,,916826252.788833,998018004.575660,0,67,0,0,yes,1.000000
13,,827227179.306314,873032481.299280,0,112,0,0,yes,1.000000
12,,842986195.746520,873410733.101550,0,99,0,0,yes,1.000000
11,,1579659797.625396,1579866953.312520,0,238,0,0,yes,1.000000
10,,858140791.790053,873627994.221160,0,132,0,0,yes,1.000000
9,,1853324896.184067,1854020051.837470,0,104,0,0,yes,1.000000
8,,2006111817.360633,2123193734.575210,0,241,0,0,yes,1.000000
7,,3377488547.101062,3383141106.339869,0,238,0,0,yes,1.000000
6,,3645739901.259447,3861725154.244596,0,232,0,0,yes,1.000000
5,,2344652414.551094,2364426173.395491,0,135,0,0,yes,1.000000
4,,836437759.450643,852075542.547380,0,82,0,0,yes,1.000000
3,,2150831882.491616,2224824237.531230,0,103,0,0,yes,1.000000
2,,1495848233.670740,1605536106.233351,0,179,0,0,yes,1.000000
1,,918698895.555902,957864976.176780,0,74,0,0,yes,1.000000
