"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,8528086830.728900,8968692035.023846,0,205,0,0,yes,1.000000
24,,43628632612.288620,43628646986.082802,0,830,0,0,yes,1.000000
23,,3653989862.619564,3822322247.506382,0,109,0,0,yes,1.000000
22,,26322390160.093933,26516146876.955418,0,580,0,0,yes,1.000000
21,,3439731402.077717,3440869702.025869,0,90,0,0,yes,1.000000
20,,6316536306.506334,6478150513.519400,0,272,0,0,yes,1.000000
19,,5556874989.573768,5571888209.732405,0,158,0,0,yes,1.000000
18,,46607704.793961,47218998.391610,0,24,0,0,yes,1.000000
17,,297290535.749138,307322363.062020,0,11,0,0,yes,1.000000
16,,41691538626.133003,41885096292.662865,0,801,0,0,yes,1.000000
15,,3700205518.599932,3857946222.606428,0,185,0,0,yes,1.000000
14,,916826252.788833,1037254709.376450,0,71,0,0,yes,1.000000
13,,827227179.306314,849612720.753860,0,115,0,0,yes,1.000000
12,,842986195.746520,850916158.059560,0,96,0,0,yes,1.000000
11,,1579659797.625396,1580354780.930660,0,240,0,0,yes,1.000000
10,,858140791.790053,869574434.212860,0,127,0,0,yes,1.000000
9,,1853324896.184067,1890757973.716350,0,103,0,0,yes,1.000000
8,,2006111817.360633,2079312465.058110,0,242,0,0,yes,1.000000
7,,3377488547.101062,3396566435.147450,0,239,0,0,yes,1.000000
6,,3645739901.259447,3894602843.704566,0,234,0,0,yes,1.000000
5,,2344652414.551094,2351786463.916981,0,129,0,0,yes,1.000000
4,,836437759.450643,836727073.609880,0,82,0,0,yes,1.000000
3,,2150831882.491616,2154425476.457971,0,100,0,0,yes,1.000000
2,,1495848233.670740,1570939024.031210,0,178,0,0,yes,1.000000
1,,918698895.555902,935751869.563990,0,67,0,0,yes,1.000000
