id,prop,spf,name
1,0.1,1e+13,Acaciaforests
2,0.1,1e+13,Acaciashrublands
3,0.1,1e+13,Eucshrublands
4,0.1,1e+13,Eucalyptuswoodlands
5,0.1,1e+13,Freshwater
6,0.1,1e+13,Grasslands
7,0.1,1e+13,Lowforest
8,0.1,1e+13,MalleeShrublands
9,0.1,1e+13,Mulgawoodlands
10,0.1,1e+13,Openshrublands
11,0.1,1e+13,Saltbush
12,0.1,1e+13,Saltlagoon
13,0.1,1e+13,Sedgelands
14,0.1,1e+13,TropicalRainforest
15,0.1,1e+13,Tussockgrasslands
16,0.1,1e+13,Azurekingfsh
17,0.1,1e+13,Blindvelvetworm
18,0.1,1e+13,Bartailedgodwit
19,0.1,1e+13,Claspleathheath
20,0.1,1e+13,Fairywren
21,0.1,1e+13,Hoarysunray
22,0.1,1e+13,MaskedOwl
23,0.1,1e+13,OrangeParrot
24,0.1,1e+13,SeaEagle
25,0.1,1e+13,SwiftParrot
