id,prop,spf,name
1,0.1,1e-04,Acaciaforests
2,0.1,1e-04,Acaciashrublands
3,0.1,1e-04,Eucshrublands
4,0.1,1e-04,Eucalyptuswoodlands
5,0.1,1e-04,Freshwater
6,0.1,1e-04,Grasslands
7,0.1,1e-04,Lowforest
8,0.1,1e-04,MalleeShrublands
9,0.1,1e-04,Mulgawoodlands
10,0.1,1e-04,Openshrublands
11,0.1,1e-04,Saltbush
12,0.1,1e-04,Saltlagoon
13,0.1,1e-04,Sedgelands
14,0.1,1e-04,TropicalRainforest
15,0.1,1e-04,Tussockgrasslands
16,0.1,1e-04,Azurekingfsh
17,0.1,1e-04,Blindvelvetworm
18,0.1,1e-04,Bartailedgodwit
19,0.1,1e-04,Claspleathheath
20,0.1,1e-04,Fairywren
21,0.1,1e-04,Hoarysunray
22,0.1,1e-04,MaskedOwl
23,0.1,1e-04,OrangeParrot
24,0.1,1e-04,SeaEagle
25,0.1,1e-04,SwiftParrot
