id,prop,spf,name
1,0.1,1668100537.20006,Acaciaforests
2,0.1,1668100537.20006,Acaciashrublands
3,0.1,1668100537.20006,Eucshrublands
4,0.1,1668100537.20006,Eucalyptuswoodlands
5,0.1,1668100537.20006,Freshwater
6,0.1,1668100537.20006,Grasslands
7,0.1,1668100537.20006,Lowforest
8,0.1,1668100537.20006,MalleeShrublands
9,0.1,1668100537.20006,Mulgawoodlands
10,0.1,1668100537.20006,Openshrublands
11,0.1,1668100537.20006,Saltbush
12,0.1,1668100537.20006,Saltlagoon
13,0.1,1668100537.20006,Sedgelands
14,0.1,1668100537.20006,TropicalRainforest
15,0.1,1668100537.20006,Tussockgrasslands
16,0.1,1668100537.20006,Azurekingfsh
17,0.1,1668100537.20006,Blindvelvetworm
18,0.1,1668100537.20006,Bartailedgodwit
19,0.1,1668100537.20006,Claspleathheath
20,0.1,1668100537.20006,Fairywren
21,0.1,1668100537.20006,Hoarysunray
22,0.1,1668100537.20006,MaskedOwl
23,0.1,1668100537.20006,OrangeParrot
24,0.1,1668100537.20006,SeaEagle
25,0.1,1668100537.20006,SwiftParrot
