id,prop,spf,name
1,0.1,21544346.9003189,Acaciaforests
2,0.1,21544346.9003189,Acaciashrublands
3,0.1,21544346.9003189,Eucshrublands
4,0.1,21544346.9003189,Eucalyptuswoodlands
5,0.1,21544346.9003189,Freshwater
6,0.1,21544346.9003189,Grasslands
7,0.1,21544346.9003189,Lowforest
8,0.1,21544346.9003189,MalleeShrublands
9,0.1,21544346.9003189,Mulgawoodlands
10,0.1,21544346.9003189,Openshrublands
11,0.1,21544346.9003189,Saltbush
12,0.1,21544346.9003189,Saltlagoon
13,0.1,21544346.9003189,Sedgelands
14,0.1,21544346.9003189,TropicalRainforest
15,0.1,21544346.9003189,Tussockgrasslands
16,0.1,21544346.9003189,Azurekingfsh
17,0.1,21544346.9003189,Blindvelvetworm
18,0.1,21544346.9003189,Bartailedgodwit
19,0.1,21544346.9003189,Claspleathheath
20,0.1,21544346.9003189,Fairywren
21,0.1,21544346.9003189,Hoarysunray
22,0.1,21544346.9003189,MaskedOwl
23,0.1,21544346.9003189,OrangeParrot
24,0.1,21544346.9003189,SeaEagle
25,0.1,21544346.9003189,SwiftParrot
