id,prop,spf,name
1,1,10,Acaciaforests
2,1,10,Acaciashrublands
3,1,10,Eucshrublands
4,1,10,Eucalyptuswoodlands
5,1,10,Freshwater
6,1,10,Grasslands
7,1,10,Lowforest
8,1,10,MalleeShrublands
9,1,10,Mulgawoodlands
10,1,10,Openshrublands
11,1,10,Saltbush
12,1,10,Saltlagoon
13,1,10,Sedgelands
14,1,10,TropicalRainforest
15,1,10,Tussockgrasslands
16,1,10,Azurekingfsh
17,1,10,Blindvelvetworm
18,1,10,Bartailedgodwit
19,1,10,Claspleathheath
20,1,10,Fairywren
21,1,10,Hoarysunray
22,1,10,MaskedOwl
23,1,10,OrangeParrot
24,1,10,SeaEagle
25,1,10,SwiftParrot
