id,prop,spf,name
1,0.1,0.00774263682681128,Acaciaforests
2,0.1,0.00774263682681128,Acaciashrublands
3,0.1,0.00774263682681128,Eucshrublands
4,0.1,0.00774263682681128,Eucalyptuswoodlands
5,0.1,0.00774263682681128,Freshwater
6,0.1,0.00774263682681128,Grasslands
7,0.1,0.00774263682681128,Lowforest
8,0.1,0.00774263682681128,MalleeShrublands
9,0.1,0.00774263682681128,Mulgawoodlands
10,0.1,0.00774263682681128,Openshrublands
11,0.1,0.00774263682681128,Saltbush
12,0.1,0.00774263682681128,Saltlagoon
13,0.1,0.00774263682681128,Sedgelands
14,0.1,0.00774263682681128,TropicalRainforest
15,0.1,0.00774263682681128,Tussockgrasslands
16,0.1,0.00774263682681128,Azurekingfsh
17,0.1,0.00774263682681128,Blindvelvetworm
18,0.1,0.00774263682681128,Bartailedgodwit
19,0.1,0.00774263682681128,Claspleathheath
20,0.1,0.00774263682681128,Fairywren
21,0.1,0.00774263682681128,Hoarysunray
22,0.1,0.00774263682681128,MaskedOwl
23,0.1,0.00774263682681128,OrangeParrot
24,0.1,0.00774263682681128,SeaEagle
25,0.1,0.00774263682681128,SwiftParrot
